closed_at,symbol,side,analyst,outcome,posted_entry,posted_stop,entry_price,entry_matches_posted,exit_price,exit_reached,move_pct,r_multiple,trade_id,signal_id,stop_used,follower_r,follower_move_pct,cost_r,entry_bps,exit_bps
"2026-08-06T05:39:59.999000Z","DEXEUSDT","SHORT","Pipfessor","win",,"2.475","2.328","false","2.17","TP2","6.79","1.07","65d3c2f6-9f7a-42dc-a721-33391f5db607","AXN-2026-08-05-00220","2.475","1.06","6.7","0.01","7.5","2"
"2026-08-05T16:53:59.999000Z","AIGENSYNUSDT","SHORT","SaltWayer","win",,"0.02289","0.02194","false","0.02126","TP1","3.1","0.72","62d1453e-e33d-4537-b36d-7bbfed1a5b21","AXN-2026-08-04-00213","0.02289","0.7","3.01","0.02","7.5","2"
"2026-08-05T13:23:48.377000Z","BANDUSDT","SHORT","Electron","loss",,"0.1626","0.1533","false","0.1544","CLOSE","-0.72","-0.12","4b5cde64-465d-4ea5-af5a-93e3215cc9e9","AXN-2026-08-02-00209","0.1626","-0.14","-0.87","0.02","7.5","7.5"
"2026-08-05T09:16:59.999000Z","ADAUSDT","SHORT","gaijin","win",,"0.1985","0.1953","false","0.1921","TP1","1.64","1","526f62ca-6ef4-454b-8c4d-98657d7113f9","AXN-2026-08-04-00215","0.1985","0.94","1.55","0.06","7.5","2"
"2026-08-05T02:25:59.999000Z","ZECUSDT","SHORT","Thmassz","win",,"560","517.74","false","453.71","TP2","12.37","1.52","9f431a6f-11df-4388-8cf2-a3c0ba9d23de","AXN-2026-07-23-00179","560","1.51","12.28","0.01","7.5","2"
"2026-08-04T15:59:59.999000Z","BTCUSDT","SHORT","gaijin","loss",,"64000","63840.2","false","64000","SL","-0.25","-1","8524aafc-2e0c-4a73-aadd-227a41dcd7a0","AXN-2026-08-04-00216","64000","-1.72","-0.43","0.72","7.5","10.5"
"2026-08-04T11:59:59.999000Z","BTCUSDT","SHORT","gaijin","loss",,"63750","63567.4","false","63750","SL","-0.29","-1","ec0309c8-6b62-409e-a677-c93b149f903a","AXN-2026-08-04-00214","63750","-1.63","-0.47","0.63","7.5","10.5"
"2026-08-03T21:52:59.999000Z","RLCUSDT","SHORT","Electron","win",,"0.2893","0.2692","false","0.2494","PARTIAL","7.36","0.99","fee77821-147f-4b55-93bd-5af45a2105ba","AXN-2026-08-01-00207","0.2893","0.97","7.22","0.02","7.5","7.5"
"2026-08-03T02:58:10.757000Z","LITUSDT","LONG","Bitcoin Wizard","win","1.988","1.686","1.988","true","2.2","TP1","10.66","0.7","c1049277-8236-400f-a9cc-5031a9b7cc59","AXN-2026-07-23-00182","1.686","0.7","10.62","0","2","2"
"2026-08-02T19:59:59.999000Z","PORTALUSDT","SHORT","SaltWayer","win",,"0.0111","0.010557","false","0.00938","TP2","11.15","2.17","93eb40ef-0890-4f14-90c1-1f9886fb180c","AXN-2026-07-23-00181","0.0111","2.15","11.06","0.02","7.5","2"
